chain	queries	query_count	best_query	identity_percentage	alignment_length	query_start	query_end	subject_start	subject_end	e_value	bit_score	positives_percentage
A3DMG2.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	57.224	353	1	351	1	349	1.5e-130	380	75.35
B6YWX4.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000019605.1|KCR_RS07330|WP_012310045.1	58.48	342	1	342	1	338	1.48e-130	379	75.73
A8AAC1.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	55.524	353	1	351	1	347	7.05e-130	378	72.52
A1RWY2.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000019605.1|KCR_RS07330|WP_012310045.1	52.907	344	1	342	1	344	8.31e-129	375	72.67
A3MY15.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	53.09	356	1	351	1	346	3.71e-122	358	73.03
O29975.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000019605.1|KCR_RS07330|WP_012310045.1	55.523	344	1	342	1	336	1.72e-121	355	70.64
A4WNC4.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	53.09	356	1	351	1	346	3.69e-120	353	71.91
A1RSC7.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	50.843	356	1	351	1	346	5.75e-118	347	72.47
Q8ZYN2.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	50.843	356	1	351	1	346	9.7e-118	347	71.91
A9A4B0.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	49.288	351	1	351	1	340	7.08e-116	342	70.37
B1YC46.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	49.719	356	1	351	1	346	2.1e-113	336	71.63
Q12UT1.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCA_000008085.1|NEQ088|AAR38943.1	51.462	342	1	337	1	338	1.49e-112	333	71.35
Q0W6I0.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCA_000008085.1|NEQ088|AAR38943.1	51.312	343	1	337	1	340	2.11e-109	325	69.97
Q8TXU4.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	50.882	340	15	351	14	348	9.88e-109	324	72.35
A0RU95.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	47.753	356	1	351	1	340	1.46e-108	323	67.13
Q8PYF6.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	48.315	356	1	351	1	338	3.45e-108	322	67.42
A0B9M7.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	48.864	352	1	351	1	336	2.94e-107	320	69.03
Q8TIY5.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	48.011	352	1	351	1	338	1.45e-103	310	69.32
A3CWV2.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000019605.1|KCR_RS07330|WP_012310045.1	47.522	343	1	342	1	333	3.05e-101	304	65.01
Q46D63.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCA_000008085.1|NEQ088|AAR38943.1	47.214	341	1	337	1	338	7.62e-101	303	70.67
A7IA59.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCA_000008085.1|NEQ088|AAR38943.1	47.198	339	1	337	1	333	2.84e-100	301	68.14
Q2FNC9.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000019605.1|KCR_RS07330|WP_012310045.1	47.23	343	1	342	1	333	6.01e-100	301	64.72
A5UL52.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCA_025839675.1|NEF87_004011|UYP47726.1	45.845	349	1	349	1	327	6.13e-99	298	65.62
Q6L2I9.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	46.023	352	1	351	1	338	1.9e-98	297	63.35
B8GIA0.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	46.154	351	1	351	1	333	5.78e-98	296	65.53
Q58839.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000019605.1|KCR_RS07330|WP_012310045.1	47.11	346	1	342	1	325	2.56e-98	296	65.32
A2SQC6.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCA_000008085.1|NEQ088|AAR38943.1	46.041	341	1	337	1	333	1.75e-95	289	66.28
O27670.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000019605.1|KCR_RS07330|WP_012310045.1	43.188	345	1	342	1	328	8e-94	285	64.64
Q9HJD4.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCA_000008085.1|NEQ088|AAR38943.1	45.133	339	1	336	1	335	1.55e-92	282	64.9
A6UX46.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCF_000007005.1|SSO_RS00880|WP_014511501.1	45.17	352	1	351	1	326	1.68e-88	271	62.78
Q97B98.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	45.946	333	1	333	1	322	3.44e-88	271	66.07
Q2NFD4.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000019605.1|KCR_RS07330|WP_012310045.1	40.936	342	1	342	1	328	5.43e-86	265	59.06
Q5XIP6.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.833	359	1	351	1	344	6.08e-82	257	63.51
Q5ZLN4.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.554	359	1	351	1	344	1.28e-81	256	62.67
B3RVF0.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.429	350	5	351	10	344	1.95e-81	255	62
A4HFE4.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.943	353	5	351	10	348	1.09e-80	254	61.47
A7RRJ0.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.554	359	1	351	1	344	4.62e-81	254	62.67
C4YBJ8.2	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	40.805	348	1	336	1	338	9.64e-80	251	61.49
A3M056.2	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	40.771	363	1	351	1	348	4.59e-79	249	59.5
A7TJ59.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	40.395	354	5	351	10	346	6.29e-79	249	59.04
Q6TNU4.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.143	350	5	351	10	344	4.81e-79	249	60.86
C1BM18.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCF_000007005.1|SSO_RS00880|WP_014511501.1	38.719	359	1	351	1	344	1.44e-78	248	61
Q4FYU7.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.377	353	5	351	10	348	1.61e-78	248	60.91
Q6BLF4.2	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	40.58	345	14	351	19	349	9.94e-79	248	59.71
B3L014.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	41.972	355	5	351	10	358	6.73e-76	247	59.72
B9EMY6.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.143	350	5	351	10	344	3.65e-78	247	60.29
A4I2L4.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.377	353	5	351	10	348	1.35e-77	246	60.34
A5KAL1.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	41.69	355	5	351	10	358	8.29e-75	245	60
C3KJE6.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.143	350	5	351	10	344	5.13e-77	244	60.57
C4YLS2.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	40.549	328	14	336	19	336	2.48e-77	244	61.59
C5DZA9.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	41.369	336	23	351	28	346	3.81e-77	244	61.9
Q58DH8.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.833	359	1	351	1	344	4.41e-77	244	63.23
