pdb_chain	queries	query_count	best_query	identity_percentage	alignment_length	query_start	query_end	subject_start	subject_end	e_value	bit_score	positives_percentage
9RCI_A	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	40.351	342	1	334	1	331	2.12e-74	234	64.91
5K97_A	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.64	333	5	334	9	330	2.9e-73	232	65.17
5UM9_A	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.64	333	5	334	9	330	2.9e-73	232	65.17
5ZOE_A	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCF_000007005.1|SSO_RS00880|WP_014511501.1	40.058	342	1	334	1	331	2.26e-73	232	64.62
5ZOG_A	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	40.058	342	1	334	1	331	2.87e-73	232	64.62
3Q8M_A	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.64	333	5	334	9	330	6.04e-73	231	64.86
5KSE_A	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.64	333	5	334	9	330	6.1e-73	231	64.86
5ZOF_A	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.766	342	1	334	1	331	3.82e-72	229	64.33
6VBH_A	GCA_000008085.1|NEQ088|AAR38943.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	3	GCA_000008085.1|NEQ088|AAR38943.1	35.968	253	5	257	5	240	9.26e-33	126	53.75
4Q0W_A	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCA_000008085.1|NEQ088|AAR38943.1	28.866	291	7	273	7	277	2.02e-31	122	49.48
4Q0R_A	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCA_000008085.1|NEQ088|AAR38943.1	28.522	291	7	273	9	279	1.71e-28	115	47.42
5T9J_A	GCF_000007005.1|SSO_RS00880|WP_014511501.1	1	GCF_000007005.1|SSO_RS00880|WP_014511501.1	29.344	259	1	257	1	227	1.11e-26	112	49.42
6TUS_A	GCA_000008085.1|NEQ088|AAR38943.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	2	GCA_000008085.1|NEQ088|AAR38943.1	31.559	263	1	257	1	246	3.21e-26	108	48.29
6TUS_B	GCA_000008085.1|NEQ088|AAR38943.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	2	GCA_000008085.1|NEQ088|AAR38943.1	31.559	263	1	257	1	246	3.61e-26	108	48.29
6TUX_A	GCA_000008085.1|NEQ088|AAR38943.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	2	GCA_000008085.1|NEQ088|AAR38943.1	31.559	263	1	257	1	246	2.86e-26	108	48.29
6TUR_AAA	GCA_000008085.1|NEQ088|AAR38943.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	2	GCA_000008085.1|NEQ088|AAR38943.1	30.62	258	5	257	6	246	3.14e-24	103	47.29
7MXX_Z	GCA_000008085.1|NEQ088|AAR38943.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1	2	GCF_000007005.1|SSO_RS00880|WP_014511501.1	27.925	265	1	257	1	243	7.56e-19	88.2	47.92
5UZV_Z	GCA_000008085.1|NEQ088|AAR38943.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1	2	GCF_000007005.1|SSO_RS00880|WP_014511501.1	27.203	261	1	257	1	243	4.3e-17	83.2	47.89
3QEA_Z	GCA_000008085.1|NEQ088|AAR38943.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1	2	GCF_000007005.1|SSO_RS00880|WP_014511501.1	27.203	261	1	257	1	243	4.81e-17	82.8	47.89
5V09_Z	GCA_000008085.1|NEQ088|AAR38943.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1	2	GCF_000007005.1|SSO_RS00880|WP_014511501.1	26.82	261	1	257	1	243	4.35e-16	80.1	47.51
3QE9_Y	GCA_000008085.1|NEQ088|AAR38943.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1	2	GCF_000007005.1|SSO_RS00880|WP_014511501.1	26.82	261	1	257	1	243	6.12e-16	79.7	47.51
6GRB_A	GCA_000008085.1|NEQ088|AAR38943.1	1	GCA_000008085.1|NEQ088|AAR38943.1	26.84	231	26	255	35	218	1.07e-15	79.7	44.16
5CO8_A	GCA_000008085.1|NEQ088|AAR38943.1	1	GCA_000008085.1|NEQ088|AAR38943.1	26.84	231	26	255	34	217	4.21e-15	77.8	43.29
6GRC_A	GCA_000008085.1|NEQ088|AAR38943.1	1	GCA_000008085.1|NEQ088|AAR38943.1	26.84	231	26	255	35	218	4.66e-15	77.8	43.29
5CNQ_A	GCA_000008085.1|NEQ088|AAR38943.1	1	GCA_000008085.1|NEQ088|AAR38943.1	26.84	231	26	255	34	217	1.07e-14	76.6	42.86
6GRD_A	GCA_000008085.1|NEQ088|AAR38943.1	1	GCA_000008085.1|NEQ088|AAR38943.1	26.84	231	26	255	35	218	1.27e-14	76.3	42.86
9PD5_S	GCA_000008085.1|NEQ088|AAR38943.1	1	GCA_000008085.1|NEQ088|AAR38943.1	33.75	160	100	257	734	881	2.86e-12	69.7	48.12
9PD3_S	GCA_000008085.1|NEQ088|AAR38943.1	1	GCA_000008085.1|NEQ088|AAR38943.1	33.125	160	100	257	734	881	1.1e-11	67.8	48.12
