sequence_id	protein_id	gene_id	assembly_id	organism	taxid	cog_id	protein_length	cog_footprint	cog_footprint_length	membership_class	membership_description	bit_score	e_value	cog_profile_length	profile_footprint	protein_coverage	profile_coverage	length_outlier	x_fraction	qc_flags	qc_status
GCA_000270325.1|CSUB_C0799|BAJ50657.1	BAJ50657.1	CSUB_C0799	GCA_000270325.1	Candidatus Caldarchaeum subterraneum	311458	COG0258	344	1-344	344	0	most of protein + most of COG profile	155.0	1.71e-44	310	2-303	1.0000	0.9742	false	0.0000		keep
GCA_021654395.1|ARM1_0341|BCS90884.1	BCS90884.1	ARM1_0341	GCA_021654395.1	Candidatus Micrarchaeota archaeon	2250274	COG0258	345	1-345	345	0	most of protein + most of COG profile	150.0	9.49e-43	310	1-302	1.0000	0.9742	false	0.0000		keep
GCA_025999155.1|KatS3mg084_0002|BDQ04484.1	BDQ04484.1	KatS3mg084_0002	GCA_025999155.1	Candidatus Dojkabacteria bacterium	2099670	COG0258	456	1-296	296	1	most of COG profile + part of protein	216.0	8.03e-67	310	10-303	0.6491	0.9484	false	0.0000		keep
GCA_000091165.1|DAMO_2253|CBE69303.1	CBE69303.1	DAMO_2253	GCA_000091165.1	Candidatus Methylomirabilis oxygeniifera	671143	COG0258	873	1-292	292	1	most of COG profile + part of protein	263.0	4.2e-81	310	11-302	0.3345	0.9419	false	0.0000		keep
GCA_000196815.1|NIDE4158|CBK43826.1	CBK43826.1	NIDE4158	GCA_000196815.1	Nitrospira defluvii	330214	COG0258	881	1-292	292	1	most of COG profile + part of protein	264.0	1.84e-81	310	10-301	0.3314	0.9419	false	0.0000		keep
GCA_000967895.1|OLEAN_C00340|CCK74210.1	CCK74210.1	OLEAN_C00340	GCA_000967895.1	Oleispira antarctica RB-8	698738	COG0258	937	1-318	318	1	most of COG profile + part of protein	272.0	4e-84	310	3-298	0.3394	0.9548	false	0.0000		keep
GCA_000967895.1|OLEAN_C19320|CCK76108.1	CCK76108.1	OLEAN_C19320	GCA_000967895.1	Oleispira antarctica RB-8	698738	COG0258	245	1-245	245	0	most of protein + most of COG profile	156.0	8.07e-46	310	19-267	1.0000	0.8032	false	0.0000		keep
GCA_000246735.1|MG2_0032|EHR75620.1	EHR75620.1	MG2_0032	GCA_000246735.1	uncultured Candidatus Poseidoniales archaeon	274854	COG0258	342	1-342	342	0	most of protein + most of COG profile	132.0	9.2e-36	310	1-309	1.0000	0.9968	false	0.0000		keep
GCF_000006765.1|PA5493|NP_254180.1	NP_254180.1	PA5493	GCF_000006765.1	Pseudomonas aeruginosa PAO1	208964	COG0258	913	1-305	305	1	most of COG profile + part of protein	264.0	1.82e-81	310	12-307	0.3341	0.9548	false	0.0000		keep
GCF_000009045.1|BSU_22010|NP_390083.1	NP_390083.1	BSU_22010	GCF_000009045.1	Bacillus subtilis subsp. subtilis str. 168	224308	COG0258	296	1-296	296	0	most of protein + most of COG profile	242.0	6.49e-79	310	8-305	1.0000	0.9613	false	0.0000		keep
GCF_000009045.1|BSU_29090|NP_390787.1	NP_390787.1	BSU_29090	GCF_000009045.1	Bacillus subtilis subsp. subtilis str. 168	224308	COG0258	880	1-297	297	1	most of COG profile + part of protein	278.0	5.03e-87	310	7-304	0.3375	0.9613	false	0.0000		keep
GCF_000005845.2|b2798|NP_417278.4	NP_417278.4	b2798	GCF_000005845.2	Escherichia coli str. K-12 substr. MG1655	511145	COG0258	251	1-251	251	0	most of protein + most of COG profile	217.0	9.15e-70	310	12-267	1.0000	0.8258	false	0.0000		keep
GCF_000005845.2|b3863|NP_418300.1	NP_418300.1	b3863	GCF_000005845.2	Escherichia coli str. K-12 substr. MG1655	511145	COG0258	928	1-314	314	1	most of COG profile + part of protein	295.0	8.33e-93	310	5-301	0.3384	0.9581	false	0.0000		keep
GCA_013426015.1|Sv326_0221|QLJ52396.1	QLJ52396.1	Sv326_0221	GCA_013426015.1	Candidatus Fermentimicrarchaeum limneticum	2795018	COG0258	343	1-343	343	0	most of protein + most of COG profile	158.0	6.97e-46	310	1-309	1.0000	0.9968	false	0.0000		keep
GCA_014075295.1|GKS04_00640|QMU55704.1	QMU55704.1	GKS04_00640	GCA_014075295.1	Candidatus Dadabacteria bacterium	2080303	COG0258	880	1-289	289	1	most of COG profile + part of protein	266.0	2.8e-82	310	10-290	0.3284	0.9065	false	0.0000		keep
GCA_016432305.1|HYS32_01925|QQG39194.1	QQG39194.1	HYS32_01925	GCA_016432305.1	Candidatus Woesearchaeota archaeon	2026803	COG0258	335	1-335	335	0	most of protein + most of COG profile	149.0	1.62e-42	310	1-309	1.0000	0.9968	false	0.0000		keep
GCA_016432325.1|HYS81_00905|QQG39954.1	QQG39954.1	HYS81_00905	GCA_016432325.1	Candidatus Aenigmatarchaeota archaeon	3121606	COG0258	341	1-341	341	0	most of protein + most of COG profile	170.0	1.69e-50	310	1-310	1.0000	1.0000	false	0.0000		keep
GCA_016699555.1|IPJ89_03830|QQR92262.1	QQR92262.1	IPJ89_03830	GCA_016699555.1	Candidatus Diapherotrites archaeon	2026736	COG0258	340	1-340	340	0	most of protein + most of COG profile	125.0	2.26e-33	310	1-308	1.0000	0.9935	false	0.0000		keep
GCA_020341755.1|JSW02_00375|UCC12024.1	UCC12024.1	JSW02_00375	GCA_020341755.1	candidate division WOR-3 bacterium	2052148	COG0258	815	1-270	270	1	most of COG profile + part of protein	216.0	3.58e-64	310	11-308	0.3313	0.9613	false	0.0000		keep
GCA_020344415.1|JSV96_16680|UCC39402.1	UCC39402.1	JSV96_16680	GCA_020344415.1	Candidatus Aminicenantes bacterium	2052149	COG0258	891	1-292	292	1	most of COG profile + part of protein	250.0	2.45e-76	310	8-309	0.3277	0.9742	false	0.0000		keep
GCA_020344315.1|JSW14_06475|UCC58000.1	UCC58000.1	JSW14_06475	GCA_020344315.1	Candidatus Bathyarchaeum sp.	3072974	COG0258	344	1-344	344	0	most of protein + most of COG profile	162.0	3.4e-47	310	3-309	1.0000	0.9903	false	0.0000		keep
GCA_020343435.1|JSW08_02860|UCD20690.1	UCD20690.1	JSW08_02860	GCA_020343435.1	archaeon	1906665	COG0258	346	1-346	346	0	most of protein + most of COG profile	148.0	5.77e-42	310	1-308	1.0000	0.9935	false	0.0000		keep
GCA_020348985.1|JSW61_09085|UCE09126.1	UCE09126.1	JSW61_09085	GCA_020348985.1	Candidatus Thorarchaeota archaeon	2053491	COG0258	340	1-340	340	0	most of protein + most of COG profile	166.0	8.86e-49	310	1-309	1.0000	0.9968	false	0.0000		keep
GCA_020348985.1|JSW61_00430|UCE10423.1	UCE10423.1	JSW61_00430	GCA_020348985.1	Candidatus Thorarchaeota archaeon	2053491	COG0258	329	1-329	329	0	most of protein + most of COG profile	88.6	8.66e-20	310	13-308	1.0000	0.9548	false	0.0000		keep
GCA_020348985.1|JSW61_06585|UCE11894.1	UCE11894.1	JSW61_06585	GCA_020348985.1	Candidatus Thorarchaeota archaeon	2053491	COG0258	378	1-378	378	0	most of protein + most of COG profile	157.0	3.87e-45	310	1-309	1.0000	0.9968	false	0.0000		keep
GCA_020348885.1|JSW52_06695|UCE26049.1	UCE26049.1	JSW52_06695	GCA_020348885.1	Candidatus Coatesbacteria bacterium	2250272	COG0258	801	1-230	230	3	partial protein + partial COG profile	182.0	8.26e-52	310	65-306	0.2871	0.7806	false	0.0000	membership_class_3	review
GCA_020348885.1|JSW52_01420|UCE27440.1	UCE27440.1	JSW52_01420	GCA_020348885.1	Candidatus Coatesbacteria bacterium	2250272	COG0258	288	1-205	205	3	partial protein + partial COG profile	217.0	3.34e-69	310	11-215	0.7118	0.6613	false	0.0000	membership_class_3	review
GCA_020349905.1|JSW03_11240|UCF78632.1	UCF78632.1	JSW03_11240	GCA_020349905.1	Candidatus Eisenbacteria bacterium	2212470	COG0258	890	1-326	326	1	most of COG profile + part of protein	268.0	6.69e-83	310	10-306	0.3663	0.9581	false	0.0000		keep
GCA_020349905.1|JSW03_02920|UCF79223.1	UCF79223.1	JSW03_02920	GCA_020349905.1	Candidatus Eisenbacteria bacterium	2212470	COG0258	296	1-296	296	0	most of protein + most of COG profile	128.0	6.71e-35	310	13-290	1.0000	0.8968	false	0.0000		keep
GCA_020355185.1|JSV92_02750|UCG94948.1	UCG94948.1	JSV92_02750	GCA_020355185.1	archaeon	1906665	COG0258	344	1-344	344	0	most of protein + most of COG profile	159.0	3.82e-46	310	1-308	1.0000	0.9935	false	0.0000		keep
GCA_021513715.1|K9W46_11045|UJG42902.1	UJG42902.1	K9W46_11045	GCA_021513715.1	Candidatus Heimdallarchaeum endolithica	2876572	COG0258	344	1-344	344	0	most of protein + most of COG profile	161.0	1.01e-46	310	2-309	1.0000	0.9935	false	0.0000		keep
GCA_025839675.1|NEF87_003796|UYP47511.1	UYP47511.1	NEF87_003796	GCA_025839675.1	Candidatus Lokiarchaeum ossiferum	2951803	COG0258	389	1-389	389	0	most of protein + most of COG profile	112.0	4.45e-28	310	10-293	1.0000	0.9161	false	0.0000		keep
GCA_025839675.1|NEF87_004011|UYP47726.1	UYP47726.1	NEF87_004011	GCA_025839675.1	Candidatus Lokiarchaeum ossiferum	2951803	COG0258	349	1-349	349	0	most of protein + most of COG profile	156.0	8.32e-45	310	4-309	1.0000	0.9871	false	0.0000		keep
GCA_026016245.1|IB618_01440|UZE94217.1	UZE94217.1	IB618_01440	GCA_026016245.1	Candidatus Pacearchaeota archaeon	2026773	COG0258	347	1-347	347	0	most of protein + most of COG profile	131.0	1.26e-35	310	1-309	1.0000	0.9968	false	0.0000		keep
GCA_029232205.1|HBNXNv_1063|WEL23886.1	WEL23886.1	HBNXNv_1063	GCA_029232205.1	Candidatus Nanohalovita haloferacivicina	2978046	COG0258	343	1-343	343	0	most of protein + most of COG profile	146.0	4.49e-41	310	1-309	1.0000	0.9968	false	0.0000		keep
GCA_001940665.2|OdinLCB4_004085|WEU39673.1	WEU39673.1	OdinLCB4_004085	GCA_001940665.2	Candidatus Odinarchaeum yellowstonii	1841599	COG0258	343	1-343	343	0	most of protein + most of COG profile	175.0	3.41e-52	310	1-310	1.0000	1.0000	false	0.0000		keep
GCF_000006745.1|VC_RS04445|WP_000052130.1	WP_000052130.1	VC_RS04445	GCF_000006745.1	Vibrio cholerae O1 biovar El Tor str. N16961	243277	COG0258	259	1-259	259	0	most of protein + most of COG profile	189.0	7.9e-59	310	12-268	1.0000	0.8290	false	0.0000		keep
GCF_000307795.1|C694_RS07575|WP_000437576.1	WP_000437576.1	C694_RS07575	GCF_000307795.1	Helicobacter pylori 26695	85962	COG0258	891	1-309	309	1	most of COG profile + part of protein	202.0	8.89e-59	310	3-303	0.3468	0.9710	false	0.0000		keep
GCF_000307795.1|C694_RS05260|WP_000556224.1	WP_000556224.1	C694_RS05260	GCF_000307795.1	Helicobacter pylori 26695	85962	COG0258	278	1-278	278	0	most of protein + most of COG profile	122.0	1.41e-32	310	7-294	1.0000	0.9290	false	0.0000		keep
GCF_000092565.1|LA_RS14790|WP_000825981.1	WP_000825981.1	LA_RS14790	GCF_000092565.1	Leptospira interrogans serovar Lai str. 56601	189518	COG0258	917	1-307	307	1	most of COG profile + part of protein	224.0	9.19e-67	310	10-307	0.3348	0.9613	false	0.0000		keep
GCF_000006745.1|VC_RS00510|WP_000940283.1	WP_000940283.1	VC_RS00510	GCF_000006745.1	Vibrio cholerae O1 biovar El Tor str. N16961	243277	COG0258	934	1-316	316	1	most of COG profile + part of protein	281.0	1.26e-87	310	5-303	0.3383	0.9645	false	0.0000		keep
GCF_000006885.1|SP_RS00195|WP_001808750.1	WP_001808750.1	SP_RS00195	GCF_000006885.1	Streptococcus pneumoniae TIGR4	170187	COG0258	877	1-297	297	1	most of COG profile + part of protein	271.0	1.98e-84	310	10-300	0.3387	0.9387	false	0.0000		keep
GCF_000011985.1|LBA_RS07590|WP_003548351.1	WP_003548351.1	LBA_RS07590	GCF_000011985.1	Lactobacillus acidophilus NCFM	272621	COG0258	886	1-303	303	1	most of COG profile + part of protein	252.0	6.53e-77	310	11-306	0.3420	0.9548	false	0.0000		keep
GCF_000092265.1|MCR_RS07575|WP_003674299.1	WP_003674299.1	MCR_RS07575	GCF_000092265.1	Moraxella catarrhalis BBH18	1236608	COG0258	959	1-335	335	1	most of COG profile + part of protein	254.0	1.68e-77	310	5-302	0.3493	0.9613	false	0.0000		keep
GCF_000025685.1|HVO_RS18590|WP_004044689.1	WP_004044689.1	HVO_RS18590	GCF_000025685.1	Haloferax volcanii DS2	309800	COG0258	326	1-326	326	0	most of protein + most of COG profile	139.0	1.81e-38	310	3-252	1.0000	0.8065	false	0.0000		keep
GCF_000008545.1|TM_RS08245|WP_004082086.1	WP_004082086.1	TM_RS08245	GCF_000008545.1	Thermotoga maritima MSB8	243274	COG0258	893	1-297	297	1	most of COG profile + part of protein	248.0	1.04e-75	310	10-305	0.3326	0.9548	false	0.0000		keep
GCF_000195735.1|RP_RS03980|WP_004596955.1	WP_004596955.1	RP_RS03980	GCF_000195735.1	Rickettsia prowazekii str. Madrid E	272947	COG0258	867	1-299	299	1	most of COG profile + part of protein	259.0	1.16e-79	310	7-308	0.3449	0.9742	false	0.0000		keep
GCF_000196395.1|ASA_RS15825|WP_005312011.1	WP_005312011.1	ASA_RS15825	GCF_000196395.1	Aeromonas salmonicida subsp. salmonicida A449	382245	COG0258	265	1-265	265	0	most of protein + most of COG profile	190.0	6.06e-59	310	10-268	1.0000	0.8355	false	0.0000		keep
GCF_000196395.1|ASA_RS20760|WP_005321200.1	WP_005321200.1	ASA_RS20760	GCF_000196395.1	Aeromonas salmonicida subsp. salmonicida A449	382245	COG0258	918	1-309	309	1	most of COG profile + part of protein	270.0	1.24e-83	310	7-307	0.3366	0.9710	false	0.0000		keep
GCF_000007585.1|PG_RS07915|WP_005874144.1	WP_005874144.1	PG_RS07915	GCF_000007585.1	Porphyromonas gingivalis W83	242619	COG0258	926	1-313	313	1	most of COG profile + part of protein	249.0	8.85e-76	310	12-302	0.3380	0.9387	false	0.0000		keep
GCF_001886815.1|Cabys_RS07910|WP_006929792.1	WP_006929792.1	Cabys_RS07910	GCF_001886815.1	Caldithrix abyssi DSM 13497	880073	COG0258	908	1-302	302	1	most of COG profile + part of protein	264.0	2.5e-81	310	10-308	0.3326	0.9645	false	0.0000		keep
GCF_000025665.1|ABOO_RS02470|WP_008082612.1	WP_008082612.1	ABOO_RS02470	GCF_000025665.1	Aciduliprofundum boonei T469	439481	COG0258	339	1-339	339	0	most of protein + most of COG profile	183.0	1.95e-55	310	1-309	1.0000	0.9968	false	0.0000		keep
GCF_000230275.1|ACIN_RS10120|WP_009014918.1	WP_009014918.1	ACIN_RS10120	GCF_000230275.1	Acidaminococcus intestini RyC-MR95	568816	COG0258	873	1-305	305	1	most of COG profile + part of protein	252.0	3.57e-77	310	12-301	0.3494	0.9355	false	0.0000		keep
GCF_000021485.1|AFE_RS14180|WP_009567300.1	WP_009567300.1	AFE_RS14180	GCF_000021485.1	Acidithiobacillus ferrooxidans ATCC 23270	243159	COG0258	899	1-293	293	1	most of COG profile + part of protein	257.0	7.33e-79	310	8-307	0.3259	0.9677	false	0.0000		keep
GCF_000027325.1|MG_RS01555|WP_010869399.1	WP_010869399.1	MG_RS01555	GCF_000027325.1	Mycoplasmoides genitalium G37	243273	COG0258	291	1-291	291	0	most of protein + most of COG profile	236.0	1.19e-76	310	10-300	1.0000	0.9387	false	0.0000		keep
GCF_000091665.1|MJ_RS07725|WP_010870964.1	WP_010870964.1	MJ_RS07725	GCF_000091665.1	Methanocaldococcus jannaschii DSM 2661	243232	COG0258	326	1-326	326	0	most of protein + most of COG profile	157.0	2.3e-45	310	4-310	1.0000	0.9903	false	0.0000		keep
GCF_000008665.1|AF_RS01330|WP_010877775.1	WP_010877775.1	AF_RS01330	GCF_000008665.1	Archaeoglobus fulgidus DSM 4304	224325	COG0258	336	1-336	336	0	most of protein + most of COG profile	184.0	7.81e-56	310	1-309	1.0000	0.9968	false	0.0000		keep
GCF_000008625.1|AQ_RS06325|WP_010881053.1	WP_010881053.1	AQ_RS06325	GCF_000008625.1	Aquifex aeolicus VF5	224324	COG0258	289	1-289	289	0	most of protein + most of COG profile	248.0	2.46e-81	310	10-304	1.0000	0.9516	false	0.0000		keep
GCF_000604125.1|TPSEA814_RS00515|WP_010881554.1	WP_010881554.1	TPSEA814_RS00515	GCF_000604125.1	Treponema pallidum subsp. pallidum str. Sea 81-4	1095955	COG0258	997	1-300	300	1	most of COG profile + part of protein	270.0	2.99e-83	310	7-303	0.3009	0.9581	false	0.0000		keep
GCF_000008745.1|CPN_RS03120|WP_010883250.1	WP_010883250.1	CPN_RS03120	GCF_000008745.1	Chlamydia pneumoniae CWL029	115713	COG0258	870	1-292	292	1	most of COG profile + part of protein	244.0	2.84e-74	310	10-294	0.3356	0.9194	false	0.0000		keep
GCF_000195915.1|TA_RS05360|WP_010901446.1	WP_010901446.1	TA_RS05360	GCF_000195915.1	Thermoplasma acidophilum DSM 1728	273075	COG0258	336	1-336	336	0	most of protein + most of COG profile	177.0	3.37e-53	310	1-309	1.0000	0.9968	false	0.0000		keep
GCF_000006805.1|VNG_RS05300|WP_010902986.1	WP_010902986.1	VNG_RS05300	GCF_000006805.1	Halobacterium salinarum NRC-1	64091	COG0258	327	1-327	327	0	most of protein + most of COG profile	128.0	1.67e-34	310	1-309	1.0000	0.9968	false	0.0000		keep
GCF_000006825.1|PM_RS05560|WP_010906999.1	WP_010906999.1	PM_RS05560	GCF_000006825.1	Pasteurella multocida subsp. multocida str. Pm70	272843	COG0258	930	1-316	316	1	most of COG profile + part of protein	293.0	4.24e-92	310	5-305	0.3398	0.9710	false	0.0000		keep
GCF_000006985.1|AYT24_RS07515|WP_010933331.1	WP_010933331.1	AYT24_RS07515	GCF_000006985.1	Chlorobaculum tepidum TLS	194439	COG0258	950	1-340	340	1	most of COG profile + part of protein	253.0	3.1e-77	310	3-302	0.3579	0.9677	false	0.0000		keep
GCF_000011905.1|DET_RS07125|WP_010937077.1	WP_010937077.1	DET_RS07125	GCF_000011905.1	Dehalococcoides mccartyi 195	243164	COG0258	903	1-307	307	1	most of COG profile + part of protein	248.0	1.98e-75	310	8-310	0.3400	0.9774	false	0.0000		keep
GCF_000008485.1|LPG_RS00510|WP_010945860.1	WP_010945860.1	LPG_RS00510	GCF_000008485.1	Legionella pneumophila subsp. pneumophila str. Philadelphia 1	272624	COG0258	896	1-295	295	1	most of COG profile + part of protein	285.0	3.41e-89	310	10-307	0.3292	0.9613	false	0.0000		keep
GCF_000008325.1|MCA_RS12605|WP_010961789.1	WP_010961789.1	MCA_RS12605	GCF_000008325.1	Methylococcus capsulatus str. Bath	243233	COG0258	906	1-301	301	1	most of COG profile + part of protein	286.0	7.23e-90	310	4-302	0.3322	0.9645	false	0.0000		keep
GCF_000008805.1|NMB_RS10310|WP_010981015.1	WP_010981015.1	NMB_RS10310	GCF_000008805.1	Neisseria meningitidis MC58	122586	COG0258	938	1-313	313	1	most of COG profile + part of protein	278.0	2.07e-86	310	7-309	0.3337	0.9774	false	0.0000		keep
GCF_000007305.1|PF_RS07095|WP_011012561.1	WP_011012561.1	PF_RS07095	GCF_000007305.1	Pyrococcus furiosus DSM 3638	186497	COG0258	340	1-340	340	0	most of protein + most of COG profile	180.0	2.45e-54	310	1-310	1.0000	1.0000	false	0.0000		keep
GCF_003019295.1|C7Y58_RS06580|WP_011016594.1	WP_011016594.1	C7Y58_RS06580	GCF_003019295.1	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	190304	COG0258	911	1-313	313	1	most of COG profile + part of protein	219.0	7.39e-65	310	10-309	0.3436	0.9677	false	0.0000		keep
GCF_000007185.1|MK_RS03015|WP_011018936.1	WP_011018936.1	MK_RS03015	GCF_000007185.1	Methanopyrus kandleri AV19	190192	COG0258	348	1-348	348	0	most of protein + most of COG profile	182.0	7.18e-55	310	1-309	1.0000	0.9968	false	0.0000		keep
GCF_000007345.1|MA_RS20890|WP_011023899.1	WP_011023899.1	MA_RS20890	GCF_000007345.1	Methanosarcina acetivorans C2A	188937	COG0258	338	1-338	338	0	most of protein + most of COG profile	168.0	1.6e-49	310	1-309	1.0000	0.9968	false	0.0000		keep
GCF_000011065.1|BT_RS16515|WP_011108723.1	WP_011108723.1	BT_RS16515	GCF_000011065.1	Bacteroides thetaiotaomicron VPI-5482	226186	COG0258	949	1-323	323	1	most of COG profile + part of protein	245.0	3.66e-74	310	7-304	0.3404	0.9613	false	0.0000		keep
GCF_000009145.1|ALW85_RS07680|WP_011112036.1	WP_011112036.1	ALW85_RS07680	GCF_000009145.1	Nitrosomonas europaea ATCC 19718	228410	COG0258	912	1-301	301	1	most of COG profile + part of protein	273.0	1.1e-84	310	10-299	0.3300	0.9355	false	0.0000		keep
GCF_000011385.1|GLL_RS03315|WP_011140638.1	WP_011140638.1	GLL_RS03315	GCF_000011385.1	Gloeobacter violaceus PCC 7421	251221	COG0258	938	1-326	326	1	most of COG profile + part of protein	238.0	1.28e-71	310	5-303	0.3475	0.9645	false	0.0000		keep
GCF_000091545.1|TTH_RS05365|WP_011228405.1	WP_011228405.1	TTH_RS05365	GCF_000091545.1	Thermus thermophilus HB8	300852	COG0258	834	1-282	282	1	most of COG profile + part of protein	264.0	8.54e-82	310	3-305	0.3381	0.9774	false	0.0000		keep
GCF_000025965.1|EBN1_RS11200|WP_011238068.1	WP_011238068.1	EBN1_RS11200	GCF_000025965.1	Aromatoleum aromaticum EbN1	76114	COG0258	908	1-299	299	1	most of COG profile + part of protein	267.0	1.19e-82	310	10-309	0.3293	0.9677	false	0.0000		keep
GCF_000009965.1|TK_RS06335|WP_011250232.1	WP_011250232.1	TK_RS06335	GCF_000009965.1	Thermococcus kodakarensis KOD1	69014	COG0258	340	1-340	340	0	most of protein + most of COG profile	181.0	1.11e-54	310	1-309	1.0000	0.9968	false	0.0000		keep
GCF_000026045.1|NP_RS09355|WP_011323600.1	WP_011323600.1	NP_RS09355	GCF_000026045.1	Natronomonas pharaonis DSM 2160	348780	COG0258	328	1-328	328	2	most of protein + part of COG profile	129.0	6.19e-35	310	1-249	1.0000	0.8032	false	0.0000	membership_class_2	review
